oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
323,061813510000,łańcucki,452.0,2020,1810,powiat,18,podkarpackie,4327.1
324,061813515000,ropczycko-sędziszowski,548.0,2020,1815,powiat,18,podkarpackie,4401.73
33,061813516000,rzeszowski,1147.0,2020,1816,powiat,18,podkarpackie,4614.22
325,061813519000,strzyżowski,504.0,2020,1819,powiat,18,podkarpackie,4052.65
326,061813563000,Rzeszów,126.0,2020,1863,miasto na prawach powiatu,18,podkarpackie,5518.24
327,061813603000,dębicki,777.0,2020,1803,powiat,18,podkarpackie,4631.33
328,061813608000,leżajski,584.0,2020,1808,powiat,18,podkarpackie,4435.95
329,061813611000,mielecki,881.0,2020,1811,powiat,18,podkarpackie,4729.31
330,061813612000,niżański,786.0,2020,1812,powiat,18,podkarpackie,4197.13
331,061813618000,stalowowolski,832.0,2020,1818,powiat,18,podkarpackie,4777.46
332,061813620000,tarnobrzeski,521.0,2020,1820,powiat,18,podkarpackie,4723.98
334,062013711000,sokólski,2055.0,2020,2011,powiat,20,podlaskie,4528.86
335,062013803000,bielski,1385.0,2020,2003,powiat,20,podlaskie,5547.83
336,062013805000,hajnowski,1624.0,2020,2005,powiat,20,podlaskie,5165.59
337,062013806000,kolneński,940.0,2020,2006,powiat,20,podlaskie,4475.28
338,062013810000,siemiatycki,1459.0,2020,2010,powiat,20,podlaskie,4473.99
339,062013813000,wysokomazowiecki,1289.0,2020,2013,powiat,20,podlaskie,5071.35
340,062013814000,zambrowski,733.0,2020,2014,powiat,20,podlaskie,4775.36
34,062013862000,Łomża,33.0,2020,2062,miasto na prawach powiatu,20,podlaskie,4872.37
341,062013901000,augustowski,1659.0,2020,2001,powiat,20,podlaskie,5009.19
342,062013904000,grajewski,968.0,2020,2004,powiat,20,podlaskie,4970.21
343,062013908000,moniecki,1382.0,2020,2008,powiat,20,podlaskie,4601.73
344,062013909000,sejneński,855.0,2020,2009,powiat,20,podlaskie,4486.11
345,062013912000,suwalski,1307.0,2020,2012,powiat,20,podlaskie,4201.41
348,071412912000,miński,1164.0,2020,1412,powiat,14,mazowieckie,4717.21
349,071412917000,otwocki,616.0,2020,1417,powiat,14,mazowieckie,5281.35
350,071412934000,wołomiński,954.0,2020,1434,powiat,14,mazowieckie,4997.04
351,071413005000,grodziski,367.0,2020,1405,powiat,14,mazowieckie,5761.51
352,071413014000,nowodworski,695.0,2020,1414,powiat,14,mazowieckie,6096.33
353,071413018000,piaseczyński,621.0,2020,1418,powiat,14,mazowieckie,5164.71
354,071413021000,pruszkowski,246.0,2020,1421,powiat,14,mazowieckie,6295.4
355,071413032000,warszawski zachodni,534.0,2020,1432,powiat,14,mazowieckie,5990.54
356,071422502000,ciechanowski,1060.0,2020,1402,powiat,14,mazowieckie,4967.97
357,071422513000,mławski,1182.0,2020,1413,powiat,14,mazowieckie,4636.34
358,071422520000,płoński,1380.0,2020,1420,powiat,14,mazowieckie,4826.77
359,071422524000,pułtuski,827.0,2020,1424,powiat,14,mazowieckie,4644.71
360,071422537000,żuromiński,807.0,2020,1437,powiat,14,mazowieckie,4384.3
361,071422611000,makowski,1065.0,2020,1411,powiat,14,mazowieckie,4461.25
35,071422615000,ostrołęcki,2093.0,2020,1415,powiat,14,mazowieckie,4564.72
36,071422616000,ostrowski,1218.0,2020,1416,powiat,14,mazowieckie,4650.41
362,071422622000,przasnyski,1219.0,2020,1422,powiat,14,mazowieckie,4638.79
363,071422635000,wyszkowski,876.0,2020,1435,powiat,14,mazowieckie,4404.79
364,071422661000,Ostrołęka,33.0,2020,1461,miasto na prawach powiatu,14,mazowieckie,5712.81
365,071422701000,białobrzeski,639.0,2020,1401,powiat,14,mazowieckie,4410.45
366,071422707000,kozienicki,916.0,2020,1407,powiat,14,mazowieckie,5467.11
367,071422709000,lipski,740.0,2020,1409,powiat,14,mazowieckie,4564.75
368,071422723000,przysuski,801.0,2020,1423,powiat,14,mazowieckie,4653.63
37,071422725000,radomski,1530.0,2020,1425,powiat,14,mazowieckie,4362.35
369,071422730000,szydłowiecki,452.0,2020,1430,powiat,14,mazowieckie,4157.78
370,071422736000,zwoleński,573.0,2020,1436,powiat,14,mazowieckie,4508.69
371,071422763000,Radom,112.0,2020,1463,miasto na prawach powiatu,14,mazowieckie,5033.24
372,071427004000,gostyniński,615.0,2020,1404,powiat,14,mazowieckie,4637.28
38,071427019000,płocki,1796.0,2020,1419,powiat,14,mazowieckie,4631.84
373,071427027000,sierpecki,852.0,2020,1427,powiat,14,mazowieckie,4613.59
375,071427103000,garwoliński,1285.0,2020,1403,powiat,14,mazowieckie,4708.21
376,071427110000,łosicki,772.0,2020,1410,powiat,14,mazowieckie,4486.1
39,071427126000,siedlecki,1603.0,2020,1426,powiat,14,mazowieckie,4503.92
377,071427129000,sokołowski,1131.0,2020,1429,powiat,14,mazowieckie,4792.94
378,071427133000,węgrowski,1221.0,2020,1433,powiat,14,mazowieckie,4589.75
379,071427328000,sochaczewski,735.0,2020,1428,powiat,14,mazowieckie,5741.89
380,071427338000,żyrardowski,533.0,2020,1438,powiat,14,mazowieckie,5113.05
