oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
121,020811306000,strzelecko-drezdenecki,1248.0,2020,0806,powiat,08,lubuskie,4560.14
122,020811307000,sulęciński,1178.0,2020,0807,powiat,08,lubuskie,4292.99
124,020811402000,krośnieński,1391.0,2020,0802,powiat,08,lubuskie,4765.1
125,020811404000,nowosolski,771.0,2020,0804,powiat,08,lubuskie,4625.15
126,020811408000,świebodziński,937.0,2020,0808,powiat,08,lubuskie,4659.04
9,020811409000,zielonogórski,1350.0,2020,0809,powiat,08,lubuskie,5037.75
127,020811410000,żagański,1132.0,2020,0810,powiat,08,lubuskie,4484.13
128,020811411000,żarski,1393.0,2020,0811,powiat,08,lubuskie,5047.09
129,020811412000,wschowski,624.0,2020,0812,powiat,08,lubuskie,4470.96
10,020811462000,Zielona Góra,277.0,2020,0862,miasto na prawach powiatu,08,lubuskie,5212.8
130,023015706000,jarociński,587.0,2020,3006,powiat,30,wielkopolskie,4193.08
131,023015707000,kaliski,1160.0,2020,3007,powiat,30,wielkopolskie,4195.22
132,023015708000,kępiński,608.0,2020,3008,powiat,30,wielkopolskie,3872.06
48,042214361000,Gdańsk,262.0,2020,2261,miasto na prawach powiatu,22,pomorskie,6490.53
133,023015712000,krotoszyński,714.0,2020,3012,powiat,30,wielkopolskie,4020.71
240,042214362000,Gdynia,135.0,2020,2262,miasto na prawach powiatu,22,pomorskie,5848.66
134,023015717000,ostrowski,1160.0,2020,3017,powiat,30,wielkopolskie,4542.09
135,023015718000,ostrzeszowski,773.0,2020,3018,powiat,30,wielkopolskie,4488.82
49,042214364000,Sopot,17.0,2020,2264,miasto na prawach powiatu,22,pomorskie,6529.1
41,042217202000,chojnicki,1364.0,2020,2202,powiat,22,pomorskie,4395.7
136,023015720000,pleszewski,713.0,2020,3020,powiat,30,wielkopolskie,4471.48
70,023015761000,Kalisz,69.0,2020,3061,miasto na prawach powiatu,30,wielkopolskie,4718.01
137,023015803000,gnieźnieński,1255.0,2020,3003,powiat,30,wielkopolskie,4658.83
138,023015809000,kolski,1011.0,2020,3009,powiat,30,wielkopolskie,4895.57
139,023015823000,słupecki,838.0,2020,3023,powiat,30,wielkopolskie,4690.36
140,023015827000,turecki,929.0,2020,3027,powiat,30,wielkopolskie,4266.25
141,023015830000,wrzesiński,704.0,2020,3030,powiat,30,wielkopolskie,4779.96
142,023015862000,Konin,82.0,2020,3062,miasto na prawach powiatu,30,wielkopolskie,4858.06
143,023015904000,gostyński,810.0,2020,3004,powiat,30,wielkopolskie,4698.58
144,023015905000,grodziski,642.0,2020,3005,powiat,30,wielkopolskie,4433.04
145,023015911000,kościański,722.0,2020,3011,powiat,30,wielkopolskie,4582.74
146,023015913000,leszczyński,806.0,2020,3013,powiat,30,wielkopolskie,4953.38
147,023015914000,międzychodzki,736.0,2020,3014,powiat,30,wielkopolskie,4519.7
148,023015915000,nowotomyski,1014.0,2020,3015,powiat,30,wielkopolskie,4807.23
149,023015922000,rawicki,554.0,2020,3022,powiat,30,wielkopolskie,4357.75
50,042815518000,gołdapski,772.0,2020,2818,powiat,28,warmińsko-mazurskie,4227.65
150,023015929000,wolsztyński,680.0,2020,3029,powiat,30,wielkopolskie,4489.74
152,023016001000,chodzieski,685.0,2020,3001,powiat,30,wielkopolskie,4550.77
4,023016002000,czarnkowsko-trzcianecki,1806.0,2020,3002,powiat,30,wielkopolskie,4869.3
51,042815519000,węgorzewski,693.0,2020,2819,powiat,28,warmińsko-mazurskie,4314.62
154,023016028000,wągrowiecki,1040.0,2020,3028,powiat,30,wielkopolskie,4491.29
155,023016031000,złotowski,1660.0,2020,3031,powiat,30,wielkopolskie,4041.17
156,023016116000,obornicki,711.0,2020,3016,powiat,30,wielkopolskie,4854.35
260,042815662000,Olsztyn,88.0,2020,2862,miasto na prawach powiatu,28,warmińsko-mazurskie,5438.71
157,023016124000,szamotulski,1119.0,2020,3024,powiat,30,wielkopolskie,5274.57
158,023016125000,średzki,624.0,2020,3025,powiat,30,wielkopolskie,5004.44
159,023016126000,śremski,574.0,2020,3026,powiat,30,wielkopolskie,4480.42
65,023016264000,Poznań,262.0,2020,3064,miasto na prawach powiatu,30,wielkopolskie,6104.97
160,023216301000,białogardzki,845.0,2020,3201,powiat,32,zachodniopomorskie,4672.61
161,023216308000,kołobrzeski,725.0,2020,3208,powiat,32,zachodniopomorskie,4575.02
162,023216313000,sławieński,1043.0,2020,3213,powiat,32,zachodniopomorskie,4350.66
163,023216361000,Koszalin,98.0,2020,3261,miasto na prawach powiatu,32,zachodniopomorskie,4973.23
164,023216402000,choszczeński,1328.0,2020,3202,powiat,32,zachodniopomorskie,4599.57
165,023216412000,pyrzycki,726.0,2020,3212,powiat,32,zachodniopomorskie,4428.81
166,023216415000,szczecinecki,1766.0,2020,3215,powiat,32,zachodniopomorskie,4827.82
167,023216416000,świdwiński,1093.0,2020,3216,powiat,32,zachodniopomorskie,4339.7
168,023216418000,łobeski,1065.0,2020,3218,powiat,32,zachodniopomorskie,4713.45
169,023216562000,Szczecin,301.0,2020,3262,miasto na prawach powiatu,32,zachodniopomorskie,5695.84
170,023216604000,goleniowski,1616.0,2020,3204,powiat,32,zachodniopomorskie,5102.94
171,023216605000,gryficki,1021.0,2020,3205,powiat,32,zachodniopomorskie,4388.97
172,023216606000,gryfiński,1870.0,2020,3206,powiat,32,zachodniopomorskie,4898.41
173,023216607000,kamieński,1007.0,2020,3207,powiat,32,zachodniopomorskie,4304.58
174,023216611000,policki,665.0,2020,3211,powiat,32,zachodniopomorskie,5535.45
6,023216614000,stargardzki,1520.0,2020,3214,powiat,32,zachodniopomorskie,4750.37
176,030210101000,bolesławiecki,1304.0,2020,0201,powiat,02,dolnośląskie,4887.95
177,030210105000,jaworski,582.0,2020,0205,powiat,02,dolnośląskie,4932.98
178,030210106000,jeleniogórski,627.0,2020,0206,powiat,02,dolnośląskie,4526.41
179,030210107000,kamiennogórski,396.0,2020,0207,powiat,02,dolnośląskie,4532.19
180,030210110000,lubański,428.0,2020,0210,powiat,02,dolnośląskie,4508.29
53,051011819000,zduńskowolski,369.0,2020,1019,powiat,10,łódzkie,4382.66
181,030210112000,lwówecki,710.0,2020,0212,powiat,02,dolnośląskie,4622.42
182,030210125000,zgorzelecki,839.0,2020,0225,powiat,02,dolnośląskie,4881.55
183,030210126000,złotoryjski,576.0,2020,0226,powiat,02,dolnośląskie,5118.53
184,030210161000,Jelenia Góra,109.0,2020,0261,miasto na prawach powiatu,02,dolnośląskie,5183.33
185,030210203000,głogowski,443.0,2020,0203,powiat,02,dolnośląskie,4763.21
186,030210204000,górowski,738.0,2020,0204,powiat,02,dolnośląskie,4432.4
187,030210209000,legnicki,744.0,2020,0209,powiat,02,dolnośląskie,4877.07
188,030210211000,lubiński,712.0,2020,0211,powiat,02,dolnośląskie,8920.41
189,030210216000,polkowicki,779.0,2020,0216,powiat,02,dolnośląskie,5606.23
190,030210262000,Legnica,56.0,2020,0262,miasto na prawach powiatu,02,dolnośląskie,4952.32
191,030210308000,kłodzki,1642.0,2020,0208,powiat,02,dolnośląskie,4747.93
192,030210319000,świdnicki,741.0,2020,0219,powiat,02,dolnośląskie,5053.92
193,030210321000,wałbrzyski,430.0,2020,0221,powiat,02,dolnośląskie,4385.23
194,030210365000,Wałbrzych,85.0,2020,0265,miasto na prawach powiatu,02,dolnośląskie,5565.38
195,030210413000,milicki,715.0,2020,0213,powiat,02,dolnośląskie,4338.67
196,030210414000,oleśnicki,1049.0,2020,0214,powiat,02,dolnośląskie,4773.9
197,030210415000,oławski,524.0,2020,0215,powiat,02,dolnośląskie,4987.74
198,030210417000,strzeliński,622.0,2020,0217,powiat,02,dolnośląskie,5161.72
199,030210418000,średzki,704.0,2020,0218,powiat,02,dolnośląskie,5260.9
200,030210420000,trzebnicki,1025.0,2020,0220,powiat,02,dolnośląskie,4611.02
43,030210423000,wrocławski,1118.0,2020,0223,powiat,02,dolnośląskie,5868.29
201,031613101000,brzeski,876.0,2020,1601,powiat,16,opolskie,4825.14
202,031613102000,głubczycki,673.0,2020,1602,powiat,16,opolskie,4703.75
203,031613106000,namysłowski,748.0,2020,1606,powiat,16,opolskie,4807.1
204,031613107000,nyski,1224.0,2020,1607,powiat,16,opolskie,4637.57
205,031613110000,prudnicki,572.0,2020,1610,powiat,16,opolskie,4446.16
