"Identyfikator
terytorialny
Territorial
identifier",Powiaty,"Ludnosc
 "
2261,   Gdańsk,470907
2262,   Gdynia,246348
2263,   Słupsk,90681
2264,   Sopot,35719
2401,   będziński,148089
2402,   bielski,165960
2414,   bieruńsko-lędziński,59776
2403,   cieszyński,178191
2404,   częstochowski,134555
2405,   gliwicki,115528
2406,   kłobucki,84591
2407,   lubliniecki,76451
2408,   mikołowski,98990
2409,   myszkowski,70880
2410,   pszczyński,111539
2411,   raciborski,108211
2412,   rybnicki,78213
2413,   tarnogórski,140519
2415,   wodzisławski,157088
2416,   zawierciański,117624
2417,   żywiecki,152756
2461,   Bielsko-Biała,170663
2462,   Bytom,165263
2463,   Chorzów,107807
2464,   Częstochowa,220433
2465,   Dąbrowa Górnicza,119373
2466,   Gliwice,178603
2467,   Jastrzębie-Zdrój,88743
2468,   Jaworzno,91115
2469,   Katowice,292774
2470,   Mysłowice,74618
2471,   Piekary Śląskie,55030
2472,   Ruda Śląska,137360
2473,   Rybnik,138098
2474,   Siemianowice Śląskie,66841
2475,   Sosnowiec,199974
2476,   Świętochłowice,49557
2477,   Tychy,127590
2478,   Zabrze,172360
2479,   Żory,62472
2601,   buski,71596
2602,   jędrzejowski,85379
2603,   kazimierski,33619
2604,   kielecki,211259
2605,   konecki,79858
2606,   opatowski,52089
2607,   ostrowiecki,108964
2608,   pińczowski,38926
2609,   sandomierski,77017
2610,   skarżyski,73991
2611,   starachowicki,89576
2612,   staszowski,71776
2613,   włoszczowski,45059
2661,   Kielce,194852
2801,   bartoszycki,57231
2802,   braniewski,41034
2803,   działdowski,65139
2804,   elbląski,57211
2805,   ełcki,91560
2806,   giżycki,56565
2818,   gołdapski,26689
2807,   iławski,92879
2808,   kętrzyński,62283
2809,   lidzbarski,41180
2810,   mrągowski,49762
2811,   nidzicki,32857
2812,   nowomiejski,43822
2813,   olecki,34148
2814,   olsztyński,126781
2815,   ostródzki,104151
2816,   piski,56135
2817,   szczycieński,69376
2819,   węgorzewski,22638
2861,   Elbląg,119317
2862,   Olsztyn,171979
3001,   chodzieski,47055
3002,   czarnkowsko-trzcianecki,86990
3003,   gnieźnieński,145418
3004,   gostyński,75908
3005,   grodziski,51893
3006,   jarociński,71563
3007,   kaliski,83026
3008,   kępiński,56451
3009,   kolski,86727
3010,   koniński,130053
3011,   kościański,79183
3012,   krotoszyński,77274
3013,   leszczyński,57201
3014,   międzychodzki,36751
3015,   nowotomyski,75543
3016,   obornicki,59825
3017,   ostrowski,161581
3018,   ostrzeszowski,55500
3019,   pilski,136112
3020,   pleszewski,63014
3021,   poznański,399272
3022,   rawicki,60262
3023,   słupecki,59077
3024,   szamotulski,91664
3025,   średzki,58879
3026,   śremski,61425
3027,   turecki,83894
3028,   wągrowiecki,70233
3029,   wolsztyński,57446
3030,   wrzesiński,77994
3031,   złotowski,69433
3061,   Kalisz,100246
3062,   Konin,73522
3063,   Leszno,63505
3064,   Poznań,534813
3201,   białogardzki,47560
3202,   choszczeński,48243
3203,   drawski,57015
3204,   goleniowski,82421
3205,   gryficki,60277
3206,   gryfiński,81882
3207,   kamieński,46999
3208,   kołobrzeski,79438
3209,   koszaliński,66480
3218,   łobeski,36696
3210,   myśliborski,65638
3211,   policki,80652
3212,   pyrzycki,39336
3213,   sławieński,56134
3214,   stargardzki,120186
3215,   szczecinecki,77630
3216,   świdwiński,46724
3217,   wałecki,53039
3261,   Koszalin,107048
3262,   Szczecin,401907
3263,   Świnoujście,40888
