oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Bezrobotni zarejestrowani pozostający bez pracy dłużej niż 1 rok|ogółem
7,011212210000,nowosądecki,1549.0,2020,1210,powiat,12,małopolskie,3256.0
2,011212416000,tarnowski,1412.0,2020,1216,powiat,12,małopolskie,2009.0
5,020811301000,gorzowski,1214.0,2020,0801,powiat,08,lubuskie,402.0
40,023015810000,koniński,1578.0,2020,3010,powiat,30,wielkopolskie,1928.0
13,023016121000,poznański,1900.0,2020,3021,powiat,30,wielkopolskie,913.0
14,023216309000,koszaliński,1653.0,2020,3209,powiat,32,zachodniopomorskie,1242.0
15,023216403000,drawski,1764.0,2020,3203,powiat,32,zachodniopomorskie,1174.0
16,023216410000,myśliborski,1182.0,2020,3210,powiat,32,zachodniopomorskie,574.0
17,023216417000,wałecki,1415.0,2020,3217,powiat,32,zachodniopomorskie,530.0
19,030210302000,dzierżoniowski,479.0,2020,0202,powiat,02,dolnośląskie,531.0
20,030210324000,ząbkowicki,802.0,2020,0224,powiat,02,dolnośląskie,782.0
21,040410818000,włocławski,1474.0,2020,0418,powiat,04,kujawsko-pomorskie,2969.0
52,040410603000,bydgoski,1394.0,2020,0403,powiat,04,kujawsko-pomorskie,726.0
54,051011963000,Skierniewice,35.0,2020,1063,miasto na prawach powiatu,10,łódzkie,485.0
56,060610961000,Biała Podlaska,49.0,2020,0661,miasto na prawach powiatu,06,lubelskie,1278.0
60,012414571000,Piekary Śląskie,40.0,2020,2471,miasto na prawach powiatu,24,śląskie,530.0
64,011216911000,nowotarski,1474.0,2020,1211,powiat,12,małopolskie,1698.0
69,062013702000,białostocki,2975.0,2020,2002,powiat,20,podlaskie,2243.0
68,062013807000,łomżyński,1355.0,2020,2007,powiat,20,podlaskie,465.0
73,011212006000,krakowski,1231.0,2020,1206,powiat,12,małopolskie,2096.0
87,011212463000,Tarnów,72.0,2020,1263,miasto na prawach powiatu,12,małopolskie,1142.0
123,020811361000,Gorzów Wielkopolski,86.0,2020,0861,miasto na prawach powiatu,08,lubuskie,413.0
97,012414604000,częstochowski,1521.0,2020,2404,powiat,24,śląskie,1211.0
151,023015963000,Leszno,32.0,2020,3063,miasto na prawach powiatu,30,wielkopolskie,391.0
153,023016019000,pilski,1268.0,2020,3019,powiat,30,wielkopolskie,886.0
299,060611064000,Zamość,30.0,2020,0664,miasto na prawach powiatu,06,lubelskie,1204.0
