Statystyka,Wartość,Wartość oczekiwana,Wariancja,Z-score,p-value
Moran's I,0.07749218827479303,-0.041666666666666664,0.0059980594802023415,1.5385830268270388,0.12390612483208024
Geary's C,1.0275393882711046,1.0,0.0006778907580732869,1.057729050909316,0.14508949342083916
Getis-Ord G,0.2807965488188204,0.2916666666666667,0.0001998262757588326,-0.7689674475216884,0.22095631771404411
