Statystyka,Wartość,Wartość oczekiwana,Wariancja,Z-score,p-value
Moran's I,-0.030594525238544747,-0.045454545454545456,0.0067128899709362755,0.18136965873325825,0.8560774327231306
Geary's C,0.9961266794958296,1.0,0.010062626184689331,-0.03861248611651246,0.4845996736180145
Getis-Ord G,0.3263058922494734,0.3181818181818182,8.750293012396715e-05,0.8684855084617363,0.19256430107395361
