oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody na 1 mieszkańca|gminy łącznie z miastami na prawach powiatu|ogółem
141,023015830000,wrzesiński,704.0,2020,3030,powiat,30,wielkopolskie,5769.75
142,023015862000,Konin,82.0,2020,3062,miasto na prawach powiatu,30,wielkopolskie,9196.52
143,023015904000,gostyński,810.0,2020,3004,powiat,30,wielkopolskie,5679.82
144,023015905000,grodziski,642.0,2020,3005,powiat,30,wielkopolskie,5424.54
145,023015911000,kościański,722.0,2020,3011,powiat,30,wielkopolskie,5961.64
146,023015913000,leszczyński,806.0,2020,3013,powiat,30,wielkopolskie,6066.65
147,023015914000,międzychodzki,736.0,2020,3014,powiat,30,wielkopolskie,5999.28
148,023015915000,nowotomyski,1014.0,2020,3015,powiat,30,wielkopolskie,5955.99
149,023015922000,rawicki,554.0,2020,3022,powiat,30,wielkopolskie,5591.5
50,042815518000,gołdapski,772.0,2020,2818,powiat,28,warmińsko-mazurskie,6042.75
150,023015929000,wolsztyński,680.0,2020,3029,powiat,30,wielkopolskie,5164.65
152,023016001000,chodzieski,685.0,2020,3001,powiat,30,wielkopolskie,5803.23
4,023016002000,czarnkowsko-trzcianecki,1806.0,2020,3002,powiat,30,wielkopolskie,5729.03
51,042815519000,węgorzewski,693.0,2020,2819,powiat,28,warmińsko-mazurskie,5474.84
154,023016028000,wągrowiecki,1040.0,2020,3028,powiat,30,wielkopolskie,5690.3
155,023016031000,złotowski,1660.0,2020,3031,powiat,30,wielkopolskie,5369.29
156,023016116000,obornicki,711.0,2020,3016,powiat,30,wielkopolskie,5343.18
260,042815662000,Olsztyn,88.0,2020,2862,miasto na prawach powiatu,28,warmińsko-mazurskie,7924.38
157,023016124000,szamotulski,1119.0,2020,3024,powiat,30,wielkopolskie,5709.79
158,023016125000,średzki,624.0,2020,3025,powiat,30,wielkopolskie,6127.1
159,023016126000,śremski,574.0,2020,3026,powiat,30,wielkopolskie,5425.04
65,023016264000,Poznań,262.0,2020,3064,miasto na prawach powiatu,30,wielkopolskie,7931.62
160,023216301000,białogardzki,845.0,2020,3201,powiat,32,zachodniopomorskie,5636.24
161,023216308000,kołobrzeski,725.0,2020,3208,powiat,32,zachodniopomorskie,6893.03
162,023216313000,sławieński,1043.0,2020,3213,powiat,32,zachodniopomorskie,6740.5
163,023216361000,Koszalin,98.0,2020,3261,miasto na prawach powiatu,32,zachodniopomorskie,6985.42
164,023216402000,choszczeński,1328.0,2020,3202,powiat,32,zachodniopomorskie,5893.16
165,023216412000,pyrzycki,726.0,2020,3212,powiat,32,zachodniopomorskie,5519.32
166,023216415000,szczecinecki,1766.0,2020,3215,powiat,32,zachodniopomorskie,5362.05
167,023216416000,świdwiński,1093.0,2020,3216,powiat,32,zachodniopomorskie,5526.04
168,023216418000,łobeski,1065.0,2020,3218,powiat,32,zachodniopomorskie,6288.41
169,023216562000,Szczecin,301.0,2020,3262,miasto na prawach powiatu,32,zachodniopomorskie,7659.2
170,023216604000,goleniowski,1616.0,2020,3204,powiat,32,zachodniopomorskie,5659.77
171,023216605000,gryficki,1021.0,2020,3205,powiat,32,zachodniopomorskie,6132.79
172,023216606000,gryfiński,1870.0,2020,3206,powiat,32,zachodniopomorskie,6109.76
173,023216607000,kamieński,1007.0,2020,3207,powiat,32,zachodniopomorskie,7039.08
174,023216611000,policki,665.0,2020,3211,powiat,32,zachodniopomorskie,6367.08
6,023216614000,stargardzki,1520.0,2020,3214,powiat,32,zachodniopomorskie,5466.04
176,030210101000,bolesławiecki,1304.0,2020,0201,powiat,02,dolnośląskie,5530.85
177,030210105000,jaworski,582.0,2020,0205,powiat,02,dolnośląskie,5899.94
178,030210106000,jeleniogórski,627.0,2020,0206,powiat,02,dolnośląskie,5864.83
179,030210107000,kamiennogórski,396.0,2020,0207,powiat,02,dolnośląskie,5240.76
180,030210110000,lubański,428.0,2020,0210,powiat,02,dolnośląskie,5268.59
53,051011819000,zduńskowolski,369.0,2020,1019,powiat,10,łódzkie,4878.18
181,030210112000,lwówecki,710.0,2020,0212,powiat,02,dolnośląskie,5162.36
182,030210125000,zgorzelecki,839.0,2020,0225,powiat,02,dolnośląskie,5655.42
183,030210126000,złotoryjski,576.0,2020,0226,powiat,02,dolnośląskie,5543.44
184,030210161000,Jelenia Góra,109.0,2020,0261,miasto na prawach powiatu,02,dolnośląskie,6963.89
185,030210203000,głogowski,443.0,2020,0203,powiat,02,dolnośląskie,6448.84
186,030210204000,górowski,738.0,2020,0204,powiat,02,dolnośląskie,5864.88
187,030210209000,legnicki,744.0,2020,0209,powiat,02,dolnośląskie,5657.56
188,030210211000,lubiński,712.0,2020,0211,powiat,02,dolnośląskie,6496.54
189,030210216000,polkowicki,779.0,2020,0216,powiat,02,dolnośląskie,8043.07
190,030210262000,Legnica,56.0,2020,0262,miasto na prawach powiatu,02,dolnośląskie,6964.17
191,030210308000,kłodzki,1642.0,2020,0208,powiat,02,dolnośląskie,5577.26
192,030210319000,świdnicki,741.0,2020,0219,powiat,02,dolnośląskie,5585.64
193,030210321000,wałbrzyski,430.0,2020,0221,powiat,02,dolnośląskie,5993.74
194,030210365000,Wałbrzych,85.0,2020,0265,miasto na prawach powiatu,02,dolnośląskie,7679.54
195,030210413000,milicki,715.0,2020,0213,powiat,02,dolnośląskie,5911.46
196,030210414000,oleśnicki,1049.0,2020,0214,powiat,02,dolnośląskie,5439.48
197,030210415000,oławski,524.0,2020,0215,powiat,02,dolnośląskie,5752.98
198,030210417000,strzeliński,622.0,2020,0217,powiat,02,dolnośląskie,5409.24
199,030210418000,średzki,704.0,2020,0218,powiat,02,dolnośląskie,5878.72
200,030210420000,trzebnicki,1025.0,2020,0220,powiat,02,dolnośląskie,5648.33
43,030210423000,wrocławski,1118.0,2020,0223,powiat,02,dolnośląskie,7057.57
201,031613101000,brzeski,876.0,2020,1601,powiat,16,opolskie,5220.68
202,031613102000,głubczycki,673.0,2020,1602,powiat,16,opolskie,5168.19
203,031613106000,namysłowski,748.0,2020,1606,powiat,16,opolskie,5385.47
204,031613107000,nyski,1224.0,2020,1607,powiat,16,opolskie,5489.0
205,031613110000,prudnicki,572.0,2020,1610,powiat,16,opolskie,5108.35
206,031613203000,kędzierzyńsko-kozielski,625.0,2020,1603,powiat,16,opolskie,5194.51
207,031613204000,kluczborski,852.0,2020,1604,powiat,16,opolskie,5268.08
208,031613205000,krapkowicki,442.0,2020,1605,powiat,16,opolskie,5481.81
55,052615210000,skarżyski,395.0,2020,2610,powiat,26,świętokrzyskie,4957.36
209,031613208000,oleski,973.0,2020,1608,powiat,16,opolskie,5128.96
31,060611020000,zamojski,1870.0,2020,0620,powiat,06,lubelskie,5144.25
298,060611062000,Chełm,35.0,2020,0662,miasto na prawach powiatu,06,lubelskie,8225.53
211,031613211000,strzelecki,744.0,2020,1611,powiat,16,opolskie,5069.37
212,031613261000,Opole,149.0,2020,1661,miasto na prawach powiatu,16,opolskie,10074.52
8,040410615000,toruński,1230.0,2020,0415,powiat,04,kujawsko-pomorskie,5870.86
214,040410702000,brodnicki,1040.0,2020,0402,powiat,04,kujawsko-pomorskie,5774.97
215,040410705000,golubsko-dobrzyński,613.0,2020,0405,powiat,04,kujawsko-pomorskie,5612.94
57,062013761000,Białystok,102.0,2020,2061,miasto na prawach powiatu,20,podlaskie,7585.81
216,040410706000,grudziądzki,728.0,2020,0406,powiat,04,kujawsko-pomorskie,6251.18
58,062013963000,Suwałki,66.0,2020,2063,miasto na prawach powiatu,20,podlaskie,7339.91
217,040410712000,rypiński,586.0,2020,0412,powiat,04,kujawsko-pomorskie,5878.03
218,040410717000,wąbrzeski,502.0,2020,0417,powiat,04,kujawsko-pomorskie,5738.57
66,040410762000,Grudziądz,58.0,2020,0462,miasto na prawach powiatu,04,kujawsko-pomorskie,7119.7
219,040410808000,lipnowski,1016.0,2020,0408,powiat,04,kujawsko-pomorskie,5990.05
220,040410811000,radziejowski,607.0,2020,0411,powiat,04,kujawsko-pomorskie,5664.47
221,040410864000,Włocławek,84.0,2020,0464,miasto na prawach powiatu,04,kujawsko-pomorskie,7343.71
222,040416707000,inowrocławski,1225.0,2020,0407,powiat,04,kujawsko-pomorskie,5469.95
223,040416709000,mogileński,675.0,2020,0409,powiat,04,kujawsko-pomorskie,5742.46
224,040416710000,nakielski,1120.0,2020,0410,powiat,04,kujawsko-pomorskie,5756.18
225,040416719000,żniński,985.0,2020,0419,powiat,04,kujawsko-pomorskie,5680.96
226,040416813000,sępoleński,791.0,2020,0413,powiat,04,kujawsko-pomorskie,5582.38
227,040416814000,świecki,1474.0,2020,0414,powiat,04,kujawsko-pomorskie,6367.63
228,040416816000,tucholski,1075.0,2020,0416,powiat,04,kujawsko-pomorskie,6024.93
229,042214004000,gdański,794.0,2020,2204,powiat,22,pomorskie,6430.33
230,042214005000,kartuski,1121.0,2020,2205,powiat,22,pomorskie,6739.77
