oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody na 1 mieszkańca|gminy łącznie z miastami na prawach powiatu|ogółem
360,071422537000,żuromiński,807.0,2020,1437,powiat,14,mazowieckie,5308.24
361,071422611000,makowski,1065.0,2020,1411,powiat,14,mazowieckie,6152.22
35,071422615000,ostrołęcki,2093.0,2020,1415,powiat,14,mazowieckie,6043.28
36,071422616000,ostrowski,1218.0,2020,1416,powiat,14,mazowieckie,5892.07
362,071422622000,przasnyski,1219.0,2020,1422,powiat,14,mazowieckie,6011.65
363,071422635000,wyszkowski,876.0,2020,1435,powiat,14,mazowieckie,5715.09
364,071422661000,Ostrołęka,33.0,2020,1461,miasto na prawach powiatu,14,mazowieckie,7900.27
365,071422701000,białobrzeski,639.0,2020,1401,powiat,14,mazowieckie,6035.91
366,071422707000,kozienicki,916.0,2020,1407,powiat,14,mazowieckie,6386.07
367,071422709000,lipski,740.0,2020,1409,powiat,14,mazowieckie,5476.57
368,071422723000,przysuski,801.0,2020,1423,powiat,14,mazowieckie,5301.3
37,071422725000,radomski,1530.0,2020,1425,powiat,14,mazowieckie,5327.05
369,071422730000,szydłowiecki,452.0,2020,1430,powiat,14,mazowieckie,5031.37
370,071422736000,zwoleński,573.0,2020,1436,powiat,14,mazowieckie,5320.28
371,071422763000,Radom,112.0,2020,1463,miasto na prawach powiatu,14,mazowieckie,7195.44
372,071427004000,gostyniński,615.0,2020,1404,powiat,14,mazowieckie,5133.04
38,071427019000,płocki,1796.0,2020,1419,powiat,14,mazowieckie,5777.23
373,071427027000,sierpecki,852.0,2020,1427,powiat,14,mazowieckie,5604.56
375,071427103000,garwoliński,1285.0,2020,1403,powiat,14,mazowieckie,5824.07
376,071427110000,łosicki,772.0,2020,1410,powiat,14,mazowieckie,5438.25
39,071427126000,siedlecki,1603.0,2020,1426,powiat,14,mazowieckie,5748.01
377,071427129000,sokołowski,1131.0,2020,1429,powiat,14,mazowieckie,5743.59
378,071427133000,węgrowski,1221.0,2020,1433,powiat,14,mazowieckie,5942.15
379,071427328000,sochaczewski,735.0,2020,1428,powiat,14,mazowieckie,5911.03
380,071427338000,żyrardowski,533.0,2020,1438,powiat,14,mazowieckie,6346.93
